amount,bank,card_network,case_id,comment_notes,customer_id,customer_name,customer_tenure_days,days_overdue,decline_code,device,due_date,has_ap_agent,payment_attempted,payment_method,payment_method_selected,retry_count,root_cause_label,surface,time_to_abandon_seconds,timestamp
31471,,,RV-00084,The payment is waiting for internal approval.,CUST-013,Karan,,27,,,2026-07-29,False,,,,,payment_approval_delay,b2b_receivable,,2026-08-26T17:53:00
27987,,,RV-00085,Our cash flow is tight this month.,CUST-018,Pooja,,23,,,2026-08-02,True,,,,,b2b_cashflow_delay,b2b_receivable,,2026-08-26T13:41:00
43088,,,RV-00086,Please resolve the invoice issue before payment.,CUST-008,Meera,,2,,,2026-08-23,False,,,,,invoice_dispute,b2b_receivable,,2026-08-26T04:15:00
106703,,,RV-00087,Please resolve the invoice issue before payment.,CUST-004,Ananya,,30,,,2026-07-26,True,,,,,invoice_dispute,b2b_receivable,,2026-08-26T17:49:00
161698,,,RV-00088,We need additional time before settling the invoice.,CUST-020,Neha,,11,,,2026-08-14,True,,,,,b2b_cashflow_delay,b2b_receivable,,2026-08-27T00:06:00
165214,,,RV-00089,Payment is delayed due to an administrative issue.,CUST-019,Varun,,26,,,2026-07-30,True,,,,,administrative_delay,b2b_receivable,,2026-08-26T10:04:00
149655,,,RV-00090,Payment is delayed due to internal cash flow constraints.,CUST-010,Kavya,,37,,,2026-07-19,False,,,,,b2b_cashflow_delay,b2b_receivable,,2026-08-25T14:22:00
232711,,,RV-00091,We need additional time before settling the invoice.,CUST-012,Ishita,,33,,,2026-07-23,False,,,,,b2b_cashflow_delay,b2b_receivable,,2026-08-27T04:00:00
50105,,,RV-00092,Payment is delayed due to an administrative issue.,CUST-004,Ananya,,24,,,2026-08-01,False,,,,,administrative_delay,b2b_receivable,,2026-08-27T19:45:00
136745,,,RV-00093,Our finance approval process is taking longer than expected.,CUST-017,Manish,,40,,,2026-07-16,False,,,,,payment_approval_delay,b2b_receivable,,2026-08-28T05:49:00
32718,,,RV-00094,Our finance approval process is taking longer than expected.,CUST-019,Varun,,21,,,2026-08-04,False,,,,,payment_approval_delay,b2b_receivable,,2026-08-26T16:53:00
17523,,,RV-00095,Our accounts team is processing the invoice.,CUST-008,Meera,,37,,,2026-07-19,False,,,,,administrative_delay,b2b_receivable,,2026-08-27T09:21:00
77725,,,RV-00096,Our accounts team is processing the invoice.,CUST-006,Sneha,,14,,,2026-08-11,False,,,,,administrative_delay,b2b_receivable,,2026-08-27T06:51:00
60084,,,RV-00097,The payment is waiting for internal approval.,CUST-020,Neha,,36,,,2026-07-20,True,,,,,payment_approval_delay,b2b_receivable,,2026-08-25T10:33:00
134804,,,RV-00098,Our accounts team is processing the invoice.,CUST-014,Nisha,,36,,,2026-07-20,False,,,,,administrative_delay,b2b_receivable,,2026-08-26T15:44:00
191347,,,RV-00099,We need additional time before settling the invoice.,CUST-001,Aarav,,19,,,2026-08-06,True,,,,,b2b_cashflow_delay,b2b_receivable,,2026-08-26T13:25:00
100113,,,RV-00100,The invoice is pending management approval.,CUST-019,Varun,,31,,,2026-07-25,False,,,,,payment_approval_delay,b2b_receivable,,2026-08-28T07:33:00
90379,,,RV-00101,The payment is waiting for internal approval.,CUST-018,Pooja,,23,,,2026-08-02,False,,,,,payment_approval_delay,b2b_receivable,,2026-08-27T19:17:00
150473,,,RV-00102,There is a dispute regarding the invoice amount.,CUST-004,Ananya,,21,,,2026-08-04,True,,,,,invoice_dispute,b2b_receivable,,2026-08-26T00:47:00
84186,,,RV-00103,Payment is delayed due to an administrative issue.,CUST-007,Arjun,,18,,,2026-08-07,True,,,,,administrative_delay,b2b_receivable,,2026-08-28T04:38:00
13708,,,RV-00104,Our finance team has raised an invoice discrepancy.,CUST-010,Kavya,,24,,,2026-08-01,True,,,,,invoice_dispute,b2b_receivable,,2026-08-26T07:19:00
43103,,,RV-00105,Our cash flow is tight this month.,CUST-002,Priya,,36,,,2026-07-20,False,,,,,b2b_cashflow_delay,b2b_receivable,,2026-08-26T22:44:00
